-1, 0, -9999
25, 0, -9999
0, -1, -9998
0, 5, -9998
20, 7, -9998
0, 0, -15
0, 1, 10
0, 2, 10
0, 3, -15
0, 4, -9998
0, 5, -9998
0, 6, -9998
1, 0, 10
1, 1, 10
1, 2, 35
1, 3, 10
1, 4, -9998
1, 5, -9998
1, 6, -9998
2, 0, 35
2, 1, 10
2, 2, 47
2, 3, 35
2, 4, -9998
2, 5, -9998
2, 6, -9998
3, 0, 47
3, 1, 10
3, 2, 60
3, 3, 47
3, 4, -9998
3, 5, -9998
3, 6, -9998
4, 0, 60
4, 1, 10
4, 2, 47
4, 3, 60
4, 4, -9998
4, 5, -9998
4, 6, -9998
5, 0, 47
5, 1, 10
5, 2, 35
5, 3, 47
5, 4, -9998
5, 5, -9998
5, 6, -9998
6, 0, 35
6, 1, 10
6, 2, 10
6, 3, 35
6, 4, -9998
6, 5, -9998
6, 6, -9998
7, 0, 10
7, 1, 10
7, 2, -15
7, 3, 10
7, 4, -9998
7, 5, -9998
7, 6, -9998
8, 0, -15
8, 1, 10
8, 2, -27
8, 3, -15
8, 4, -9998
8, 5, -9998
8, 6, -9998
9, 0, -27
9, 1, 10
9, 2, -40
9, 3, -27
9, 4, -9998
9, 5, -9998
9, 6, -9998
10, 0, -40
10, 1, 10
10, 2, -27
10, 3, -40
10, 4, -9998
10, 5, -9998
10, 6, -9998
11, 0, -27
11, 1, 10
11, 2, -15
11, 3, -27
11, 4, -9998
11, 5, -9998
11, 6, -9998
12, 0, -9999
12, 1, -9999
12, 2, -9999
12, 3, -9999
12, 4, -9999
12, 5, -9999
12, 6, -9999
13, 0, -15
13, 1, -27
13, 2, 47
13, 3, 35
13, 4, -15
13, 5, -9998
13, 6, -9998
14, 0, 35
14, 1, 10
14, 2, 47
14, 3, 60
14, 4, 35
14, 5, -9998
14, 6, -9998
15, 0, 60
15, 1, 47
15, 2, 10
15, 3, 35
15, 4, 60
15, 5, -9998
15, 6, -9998
16, 0, 35
16, 1, 47
16, 2, -27
16, 3, -15
16, 4, 35
16, 5, -9998
16, 6, -9998
17, 0, -15
17, 1, 10
17, 2, -27
17, 3, -40
17, 4, -15
17, 5, -9998
17, 6, -9998
18, 0, -40
18, 1, -27
18, 2, 10
18, 3, -15
18, 4, -40
18, 5, -9998
18, 6, -9998
19, 0, 60
19, 1, 35
19, 2, -15
19, 3, -40
19, 4, -27
19, 5, 47
19, 6, 60
20, 0, 35
20, 1, -15
20, 2, -40
20, 3, -15
20, 4, 10
20, 5, 47
20, 6, 35
21, 0, -15
21, 1, -40
21, 2, -15
21, 3, 35
21, 4, 47
21, 5, 10
21, 6, -15
22, 0, -40
22, 1, -15
22, 2, 35
22, 3, 60
22, 4, 47
22, 5, -27
22, 6, -40
23, 0, -15
23, 1, 35
23, 2, 60
23, 3, 35
23, 4, 10
23, 5, -27
23, 6, -15
24, 0, 35
24, 1, 60
24, 2, 35
24, 3, -15
24, 4, -27
24, 5, 10
24, 6, 35
